Time,Parameter 1,Parameter 2,Parameter 3
2025-06-23 01:00:00,36.98,59.69,6.88
2025-06-23 01:15:00,36.93,60.10,6.88
2025-06-23 01:30:00,36.99,59.93,6.88
2025-06-23 01:45:00,36.96,59.78,6.88
2025-06-23 02:00:00,37.10,59.36,6.88
2025-06-23 02:15:00,37.02,60.13,6.88
2025-06-23 02:30:00,36.94,59.00,6.88
2025-06-23 02:45:00,36.98,60.85,6.88
2025-06-23 03:00:00,36.99,59.90,6.88
2025-06-23 03:15:00,37.03,60.35,6.88
2025-06-23 03:30:00,36.94,60.40,6.88
2025-06-23 03:45:00,36.96,60.42,6.88
2025-06-23 04:00:00,36.93,59.99,6.88
2025-06-23 04:15:00,37.01,59.29,6.88
2025-06-23 04:30:00,36.97,59.76,6.88
2025-06-23 04:45:00,36.97,61.07,6.88
2025-06-23 05:00:00,37.03,61.10,6.88
2025-06-23 05:15:00,36.92,60.23,6.88
2025-06-23 05:30:00,36.99,61.03,6.88
2025-06-23 05:45:00,36.96,59.72,6.88
2025-06-23 06:00:00,36.99,60.30,6.88
2025-06-23 06:15:00,37.02,59.95,6.88
2025-06-23 06:30:00,36.99,60.21,6.88
2025-06-23 06:45:00,36.98,59.99,6.88
2025-06-23 07:00:00,36.99,59.03,6.88
2025-06-23 07:15:00,36.97,59.87,6.88
2025-06-23 07:30:00,37.01,59.45,6.88
2025-06-23 07:45:00,37.00,59.62,6.88
2025-06-23 08:00:00,37.00,59.49,6.88
2025-06-23 08:15:00,37.05,60.45,6.88
2025-06-23 08:30:00,37.02,59.47,6.88
2025-06-23 08:45:00,36.94,59.25,6.88
2025-06-23 09:00:00,36.96,59.37,6.88
2025-06-23 09:15:00,37.10,59.44,6.88
2025-06-23 09:30:00,37.00,60.53,6.88
2025-06-23 09:45:00,36.96,59.55,6.88
2025-06-23 10:00:00,36.97,59.44,6.88
2025-06-23 10:15:00,37.15,60.11,6.88
2025-06-23 10:30:00,37.26,60.01,6.88
2025-06-23 10:45:00,37.09,60.55,6.88
2025-06-23 11:00:00,36.99,60.00,6.87
2025-06-23 11:15:00,36.39,60.59,6.87
2025-06-23 11:30:00,31.60,59.84,6.87
2025-06-23 11:45:00,35.40,53.35,6.85
2025-06-23 12:00:00,35.38,66.96,6.84
2025-06-23 12:15:00,40.40,64.80,6.86
2025-06-23 12:30:00,37.75,61.94,6.89
2025-06-23 12:45:00,36.77,60.87,6.92
2025-06-23 13:00:00,36.54,59.90,6.93
2025-06-23 13:15:00,36.56,56.72,6.92
2025-06-23 13:30:00,36.56,59.40,6.92
2025-06-23 13:45:00,36.53,59.38,6.91
2025-06-23 14:00:00,36.77,60.79,6.90
2025-06-23 14:15:00,36.93,59.31,6.90
2025-06-23 14:30:00,36.99,59.57,6.90
2025-06-23 14:45:00,36.97,59.39,6.90
2025-06-23 15:00:00,37.00,58.60,6.89
2025-06-23 15:15:00,37.08,59.70,6.88
2025-06-23 15:30:00,37.05,60.01,6.87
2025-06-23 15:45:00,37.06,59.93,6.87
2025-06-23 16:00:00,37.10,58.73,6.86
2025-06-23 16:15:00,37.01,59.44,6.86
2025-06-23 16:30:00,37.01,59.80,6.85
2025-06-23 16:45:00,36.87,60.74,6.85
2025-06-23 17:00:00,36.92,59.16,6.86
2025-06-23 17:15:00,36.98,59.46,6.87
2025-06-23 17:30:00,37.08,59.72,6.87
2025-06-23 17:45:00,37.00,60.19,6.88
